sku,country,cost
TS-BLACK-S,FR,10.39
TS-BLACK-S,DE,10.39
TS-BLACK-S,GB,10.39
TS-BLACK-S,CA,16.71
TS-BLACK-S,CH,13.99
TS-BLACK-S,BE,10.89
TS-BLACK-S,EE,13.77
TS-BLACK-S,ES,10.89
TS-BLACK-S,GR,12.88
TS-BLACK-S,IE,10.89
TS-BLACK-S,IT,10.89
TS-BLACK-S,LU,12.15
TS-BLACK-S,MC,10.39
TS-BLACK-S,NL,12.57
TS-BLACK-S,PT,12.78
TS-BLACK-S,SK,12.78
TS-BLACK-S,US,
TS-BLACK-S,AT,10.89
TS-BLACK-S,SE,10.89
TS-BLACK-M,FR,10.39
TS-BLACK-M,DE,10.39
TS-BLACK-M,GB,10.39
TS-BLACK-M,CA,16.71
TS-BLACK-M,CH,13.99
TS-BLACK-M,BE,10.89
TS-BLACK-M,EE,13.77
TS-BLACK-M,ES,10.89
TS-BLACK-M,GR,12.88
TS-BLACK-M,IE,10.89
TS-BLACK-M,IT,10.89
TS-BLACK-M,LU,12.15
TS-BLACK-M,MC,10.39
TS-BLACK-M,NL,12.57
TS-BLACK-M,PT,12.78
TS-BLACK-M,SK,12.78
TS-BLACK-M,US,
TS-BLACK-M,AT,10.89
TS-BLACK-M,SE,10.89
TS-BLACK-L,FR,10.39
TS-BLACK-L,DE,10.39
TS-BLACK-L,GB,10.39
TS-BLACK-L,CA,16.71
TS-BLACK-L,CH,13.99
TS-BLACK-L,BE,10.89
TS-BLACK-L,EE,13.77
TS-BLACK-L,ES,10.89
TS-BLACK-L,GR,12.88
TS-BLACK-L,IE,10.89
TS-BLACK-L,IT,10.89
TS-BLACK-L,LU,12.15
TS-BLACK-L,MC,10.39
TS-BLACK-L,NL,12.57
TS-BLACK-L,PT,12.78
TS-BLACK-L,SK,12.78
TS-BLACK-L,US,
TS-BLACK-L,AT,10.89
TS-BLACK-L,SE,10.89
TS-BLACK-XL,FR,10.39
TS-BLACK-XL,DE,10.39
TS-BLACK-XL,GB,10.39
TS-BLACK-XL,CA,16.71
TS-BLACK-XL,CH,13.99
TS-BLACK-XL,BE,10.89
TS-BLACK-XL,EE,13.77
TS-BLACK-XL,ES,10.89
TS-BLACK-XL,GR,12.88
TS-BLACK-XL,IE,10.89
TS-BLACK-XL,IT,10.89
TS-BLACK-XL,LU,12.15
TS-BLACK-XL,MC,10.39
TS-BLACK-XL,NL,12.57
TS-BLACK-XL,PT,12.78
TS-BLACK-XL,SK,12.78
TS-BLACK-XL,US,
TS-BLACK-XL,AT,10.89
TS-BLACK-XL,SE,10.89
TS-BLACK-2XL,FR,11.89
TS-BLACK-2XL,DE,11.89
TS-BLACK-2XL,GB,11.89
TS-BLACK-2XL,CA,17.99
TS-BLACK-2XL,CH,13.99
TS-BLACK-2XL,BE,12.39
TS-BLACK-2XL,EE,15.8
TS-BLACK-2XL,ES,12.39
TS-BLACK-2XL,GR,12.88
TS-BLACK-2XL,IE,12.39
TS-BLACK-2XL,IT,12.39
TS-BLACK-2XL,LU,12.15
TS-BLACK-2XL,MC,10.39
TS-BLACK-2XL,NL,12.57
TS-BLACK-2XL,PT,12.78
TS-BLACK-2XL,SK,12.78
TS-BLACK-2XL,US,
TS-BLACK-2XL,AT,12.39
TS-BLACK-2XL,SE,12.39
TS-BLACK-3XL,FR,12.89
TS-BLACK-3XL,DE,12.89
TS-BLACK-3XL,GB,12.89
TS-BLACK-3XL,CA,19.09
TS-BLACK-3XL,CH,14.67
TS-BLACK-3XL,BE,13.39
TS-BLACK-3XL,EE,17.41
TS-BLACK-3XL,ES,13.39
TS-BLACK-3XL,GR,13.72
TS-BLACK-3XL,IE,13.39
TS-BLACK-3XL,IT,13.39
TS-BLACK-3XL,LU,12.95
TS-BLACK-3XL,MC,11.07
TS-BLACK-3XL,NL,13.39
TS-BLACK-3XL,PT,13.61
TS-BLACK-3XL,SK,13.61
TS-BLACK-3XL,US,
TS-BLACK-3XL,AT,13.39
TS-BLACK-3XL,SE,13.39
TS-BLACK-4XL,FR,12.89
TS-BLACK-4XL,DE,12.89
TS-BLACK-4XL,GB,12.89
TS-BLACK-4XL,CA,20.39
